metric,original,reproduction,difference_or_note
dataset_sha256,1023663fdf1070283547799fbccd54aa215281b17407baa4c886803275732b30,1023663fdf1070283547799fbccd54aa215281b17407baa4c886803275732b30,一致
success_count,80,80,0.0
failure_count,0,0,0.0
accuracy,0.4,0.3875,-0.0125
macro_precision,0.5208,0.4333,-0.0875
macro_recall,0.4,0.3875,-0.0125
macro_f1,0.3458,0.3233,-0.0225
mean_latency_ms,24271.59,23874.73,-396.86
p50_latency_ms,22918.58,23370.7,452.12
p95_latency_ms,37063.3,32632.34,-4430.96
web_trigger_count,0,0,0.0
at_least_one_valid_evidence_rate,0.8375,0.875,0.0375
risk_label_consistency_rate,1.0,0.625,-0.375
mean_final_score_difference,0.0,-1.54875,-1.54875
mean_pair_score_stddev,0.0,7.201875,7.201875
retrieved_candidate_jaccard,1.0,0.977273,-0.022727
