policy,stage,sample_count,mean_ms,p50_ms,p95_ms,min_ms,max_ms,stddev_ms,scope_note
Local+Web,analyze_news_credibility,12,26458.86,26392.91,30439.89,21772.41,30682.43,3316.18,隔离低覆盖实验；本地检索为空结果；数据库保存为内存模拟
Local+Web,calculate_rule_score,12,0.43,0.23,1.36,0.15,1.74,0.46,隔离低覆盖实验；本地检索为空结果；数据库保存为内存模拟
Local+Web,database_save_mock,12,0.03,0.03,0.05,0.02,0.07,0.01,隔离低覆盖实验；本地检索为空结果；数据库保存为内存模拟
Local+Web,extract_keywords,12,0.23,0.23,0.34,0.16,0.41,0.07,隔离低覆盖实验；本地检索为空结果；数据库保存为内存模拟
Local+Web,local_retrieval,12,0.01,0.01,0.01,0.0,0.01,0.0,隔离低覆盖实验；本地检索为空结果；数据库保存为内存模拟
Local+Web,search_evidence,12,411.64,414.02,477.7,358.67,499.32,40.43,隔离低覆盖实验；本地检索为空结果；数据库保存为内存模拟
Local-only,analyze_news_credibility,12,20426.9,19974.32,28854.67,11176.59,30153.95,5785.88,隔离低覆盖实验；本地检索为空结果；数据库保存为内存模拟
Local-only,calculate_rule_score,12,0.22,0.23,0.27,0.16,0.28,0.05,隔离低覆盖实验；本地检索为空结果；数据库保存为内存模拟
Local-only,database_save_mock,12,0.03,0.03,0.04,0.02,0.04,0.01,隔离低覆盖实验；本地检索为空结果；数据库保存为内存模拟
Local-only,extract_keywords,12,0.89,0.25,4.12,0.15,4.31,1.46,隔离低覆盖实验；本地检索为空结果；数据库保存为内存模拟
Local-only,local_retrieval,12,0.01,0.01,0.01,0.0,0.01,0.0,隔离低覆盖实验；本地检索为空结果；数据库保存为内存模拟
