parameter,value,metric,metric_value,sample_count,data_scope
Top-K,1,Recall@K,1.0,80,既有80条整体评测（探索性，非验证集调参）
Top-K,3,Recall@K,1.0,80,既有80条整体评测（探索性，非验证集调参）
Top-K,5,Recall@K,1.0,80,既有80条整体评测（探索性，非验证集调参）
Top-K,10,Recall@K,1.0,80,既有80条整体评测（探索性，非验证集调参）
Web-Top1-Threshold,0.45,Counterfactual-Trigger-Rate,0.0,80,仅Top-1规则反事实计数；未调用联网服务
Web-Top1-Threshold,0.6,Counterfactual-Trigger-Rate,0.0,80,仅Top-1规则反事实计数；未调用联网服务
Web-Top1-Threshold,0.75,Counterfactual-Trigger-Rate,0.0125,80,仅Top-1规则反事实计数；未调用联网服务
Web-Top1-Threshold,0.8,Counterfactual-Trigger-Rate,0.05,80,仅Top-1规则反事实计数；未调用联网服务
Web-Top1-Threshold,0.85,Counterfactual-Trigger-Rate,0.4625,80,仅Top-1规则反事实计数；未调用联网服务
Web-Top1-Threshold,0.9,Counterfactual-Trigger-Rate,0.925,80,仅Top-1规则反事实计数；未调用联网服务
Evidence-Quality-Weight,0.0,accuracy,0.6176,68,68条共同子集离线重算；保持LLM:规则=5:2
Evidence-Quality-Weight,0.0,macro_f1,0.5898,68,68条共同子集离线重算；保持LLM:规则=5:2
Evidence-Quality-Weight,0.1,accuracy,0.5735,68,68条共同子集离线重算；保持LLM:规则=5:2
Evidence-Quality-Weight,0.1,macro_f1,0.543,68,68条共同子集离线重算；保持LLM:规则=5:2
Evidence-Quality-Weight,0.2,accuracy,0.5,68,68条共同子集离线重算；保持LLM:规则=5:2
Evidence-Quality-Weight,0.2,macro_f1,0.456,68,68条共同子集离线重算；保持LLM:规则=5:2
Evidence-Quality-Weight,0.3,accuracy,0.4706,68,68条共同子集离线重算；保持LLM:规则=5:2
Evidence-Quality-Weight,0.3,macro_f1,0.4169,68,68条共同子集离线重算；保持LLM:规则=5:2
Evidence-Quality-Weight,0.4,accuracy,0.4412,68,68条共同子集离线重算；保持LLM:规则=5:2
Evidence-Quality-Weight,0.4,macro_f1,0.381,68,68条共同子集离线重算；保持LLM:规则=5:2
Evidence-Quality-Weight,0.5,accuracy,0.4412,68,68条共同子集离线重算；保持LLM:规则=5:2
Evidence-Quality-Weight,0.5,macro_f1,0.3812,68,68条共同子集离线重算；保持LLM:规则=5:2
Risk-Threshold-Shift,-5.0,accuracy,0.4125,80,正式80条原运行保存分数离线重分类
Risk-Threshold-Shift,-5.0,macro_f1,0.3607,80,正式80条原运行保存分数离线重分类
Risk-Threshold-Shift,0.0,accuracy,0.4,80,正式80条原运行保存分数离线重分类
Risk-Threshold-Shift,0.0,macro_f1,0.3458,80,正式80条原运行保存分数离线重分类
Risk-Threshold-Shift,5.0,accuracy,0.425,80,正式80条原运行保存分数离线重分类
Risk-Threshold-Shift,5.0,macro_f1,0.3909,80,正式80条原运行保存分数离线重分类
Risk-Boundary-Margin,2,sample_rate,0.175,80,与40/60/80任一生产分界点的距离
Risk-Boundary-Margin,5,sample_rate,0.3125,80,与40/60/80任一生产分界点的距离
